Date,PM10,SO2,CO,O3,Max,Critical Component,Category,Indeks,Baik/Buruk
9/9/2020,27,0,21,21,27,PM10,Good,1,Baik
9/10/2020,26,0,19,18,26,PM10,Good,1,Baik
9/11/2020,20,0,11,19,20,PM10,Good,1,Baik
9/12/2020,18,0,20,21,21,O3,Good,1,Baik
9/13/2020,13,0,12,20,20,O3,Good,1,Baik
9/14/2020,20,0,16,19,20,PM10,Good,1,Baik
9/15/2020,14,0,13,19,19,O3,Good,1,Baik
9/16/2020,14,0,11,18,18,O3,Good,1,Baik
9/17/2020,21,0,22,24,24,O3,Good,1,Baik
9/18/2020,20,0,20,24,24,O3,Good,1,Baik
9/19/2020,23,0,20,23,23,"PM10,O3",Good,1,Baik
9/20/2020,23,0,12,20,23,PM10,Good,1,Baik
9/21/2020,13,0,6,15,15,O3,Good,1,Baik
9/22/2020,14,0,17,13,17,CO,Good,1,Baik
9/23/2020,13,0,29,20,29,CO,Good,1,Baik
9/24/2020,13,0,10,11,13,PM10,Good,1,Baik
9/25/2020,15,1,10,13,15,PM10,Good,1,Baik
9/26/2020,10,0,6,12,12,O3,Good,1,Baik
9/27/2020,10,0,2,11,11,O3,Good,1,Baik
9/28/2020,11,0,6,14,14,O3,Good,1,Baik
9/29/2020,13,0,7,14,14,O3,Good,1,Baik
9/30/2020,14,0,9,17,17,O3,Good,1,Baik
10/1/2020,13,0,7,18,18,O3,Good,1,Baik
10/2/2020,15,0,12,16,16,O3,Good,1,Baik
10/3/2020,11,0,8,14,14,O3,Good,1,Baik
10/4/2020,10,0,10,16,16,O3,Good,1,Baik
10/5/2020,11,0,9,18,18,O3,Good,1,Baik
10/6/2020,13,0,15,20,20,O3,Good,1,Baik
10/7/2020,15,0,10,28,28,O3,Good,1,Baik
10/8/2020,16,0,10,23,23,O3,Good,1,Baik
10/9/2020,14,0,11,22,22,O3,Good,1,Baik
10/10/2020,14,0,11,17,17,O3,Good,1,Baik
10/11/2020,20,0,28,14,28,CO,Good,1,Baik
10/12/2020,13,0,18,17,18,CO,Good,1,Baik
10/13/2020,14,0,16,14,16,CO,Good,1,Baik
10/14/2020,19,0,17,16,19,PM10,Good,1,Baik
10/15/2020,17,0,11,16,17,PM10,Good,1,Baik
10/16/2020,14,0,11,15,15,O3,Good,1,Baik
10/17/2020,15,0,13,17,17,O3,Good,1,Baik
10/18/2020,16,0,12,13,16,PM10,Good,1,Baik
10/19/2020,17,0,17,20,20,O3,Good,1,Baik
10/20/2020,22,0,39,20,39,CO,Good,1,Baik
10/21/2020,15,0,14,19,19,O3,Good,1,Baik
10/22/2020,27,0,51,22,51,CO,Moderate,2,Baik
10/23/2020,17,0,20,16,20,CO,Good,1,Baik
10/24/2020,17,0,22,13,22,CO,Good,1,Baik
10/25/2020,14,0,20,11,20,CO,Good,1,Baik
10/26/2020,8,0,20,16,20,CO,Good,1,Baik
10/27/2020,7,0,27,13,27,CO,Good,1,Baik
10/28/2020,22,5,40,14,40,CO,Good,1,Baik
10/29/2020,16,1,25,6,25,CO,Good,1,Baik
10/30/2020,24,0,20,11,24,PM10,Good,1,Baik
10/31/2020,23,0,25,23,25,CO,Good,1,Baik
11/1/2020,19,0,23,33,33,O3,Good,1,Baik
11/2/2020,7,0,19,20,20,O3,Good,1,Baik
11/3/2020,10,0,21,19,21,CO,Good,1,Baik
11/4/2020,15,5,28,30,30,O3,Good,1,Baik
11/5/2020,17,0,21,27,27,O3,Good,1,Baik
